repo	files	nodes	edges	sccs_cyclic	dup_pairs	dup_per100f	size_mb	verdict
protocolbuffers/protobuf							226	TOO_BIG
mongodb/mongo							1347	TOO_BIG
ceph/ceph							910	TOO_BIG
qt/qtbase							867	TOO_BIG
grpc/grpc							611	TOO_BIG
TrinityCore/TrinityCore							1412	TOO_BIG
v8/v8							1212	TOO_BIG
abseil/abseil-cpp	5	5	0	0	0	0.0	0	CLEAN
google/angle							204	TOO_BIG
google/perfetto							238	TOO_BIG
facebook/fbthrift							289	TOO_BIG
facebook/hhvm							872	TOO_BIG
brave/brave-core							4400	TOO_BIG
blender/blender							945	TOO_BIG
XRPLF/rippled	1157	1162	8496	0	16	1.4	46	VIOLATION_KEPT
rapidsai/cudf							209	TOO_BIG
godotengine/godot							1821	TOO_BIG
microsoft/WSL	569	569	1490	8	12	2.1	56	VIOLATION_KEPT
openbabel/openbabel	480	480	1988	1	22	4.6	71	VIOLATION_KEPT
qt-creator/qt-creator							673	TOO_BIG
eranif/codelite							631	TOO_BIG
google/mozc							784	TOO_BIG
facebook/CacheLib	0	0	0	0	0		0	CLEAN
esphome/esphome	2586	2586	7776	1	53	2.0	69	VIOLATION_KEPT
KhronosGroup/SPIRV-Tools	0	0	0	0	0		0	CLEAN
gcc-mirror/gcc							4090	TOO_BIG
google/skia							1219	TOO_BIG
openvinotoolkit/openvino							937	TOO_BIG
apple/foundationdb							205	TOO_BIG
wpilibsuite/allwpilib	2121	2121	6028	34	58	2.7	123	VIOLATION_KEPT
percona/percona-server							5060	TOO_BIG
randombit/botan	1300	1300	121	0	41	3.2	39	VIOLATION_KEPT
CleverRaven/Cataclysm-DDA							12539	TOO_BIG
OvenMediaLabs/OvenMediaEngine	1451	1451	3855	3	39	2.7	38	VIOLATION_KEPT
envoyproxy/envoy							306	TOO_BIG
MariaDB/server							1673	TOO_BIG
amule-project/amule	455	455	2032	1	28	6.2	24	VIOLATION_KEPT
ClickHouse/ClickHouse							6828	TOO_BIG
electron/electron							203	TOO_BIG
facebook/react-native							970	TOO_BIG
ermig1979/Simd	12	12	0	0	2	16.7	43	VIOLATION_KEPT
scylladb/scylladb							264	TOO_BIG
KiCad/kicad-source-mirror							4085	TOO_BIG
LibreOffice/core							6195	TOO_BIG
Rust-GCC/gccrs							1601	TOO_BIG
ArduPilot/ardupilot							602	TOO_BIG
colmap/colmap	103	103	175	0	5	4.9	32	VIOLATION_KEPT
IfcOpenShell/IfcOpenShell							371	TOO_BIG
microsoft/react-native-windows							375	TOO_BIG
facebook/rocksdb							244	TOO_BIG
PCSX2/pcsx2							321	TOO_BIG
open-telemetry/opentelemetry-cpp	887	887	4676	0	21	2.4	16	VIOLATION_KEPT
shader-slang/slang	1423	1424	5200	3	43	3.0	68	VIOLATION_KEPT
opencv/opencv							559	TOO_BIG
sofa-framework/sofa							385	TOO_BIG
pytorch/FBGEMM	399	399	787	0	43	10.8	26	VIOLATION_KEPT
mysql/mysql-server							4795	TOO_BIG
crawl/crawl							330	TOO_BIG
haiku/haiku							475	TOO_BIG
facebookincubator/fizz	282	282	686	0	12	4.3	10	VIOLATION_KEPT
manticoresoftware/manticoresearch	662	662	2202	3	13	2.0	57	VIOLATION_KEPT
alibaba/MNN							329	TOO_BIG
harfbuzz/harfbuzz	134	134	148	0	5	3.7	48	VIOLATION_KEPT
MRPT/mrpt							306	TOO_BIG
dmlc/xgboost	316	316	1513	0	6	1.9	16	VIOLATION_KEPT
NixOS/nix	727	727	2833	1	5	0.7	66	VIOLATION_KEPT
FastLED/FastLED							300	TOO_BIG
microsoft/terminal	1103	1103	2462	2	28	2.5	64	VIOLATION_KEPT
domoticz/domoticz							412	TOO_BIG
sysown/proxysql							639	TOO_BIG
casadi/casadi	853	855	1761	1	32	3.8	26	VIOLATION_KEPT
Stellarium/stellarium							5832	TOO_BIG
contour-terminal/contour	237	238	756	2	5	2.1	20	VIOLATION_KEPT
hluk/CopyQ	320	320	944	0	1	0.3	12	VIOLATION_KEPT
mavlink/qgroundcontrol							535	TOO_BIG
microsoft/onnxruntime							1547	TOO_BIG
ros-navigation/navigation2	30	30	48	0	2	6.7	87	VIOLATION_KEPT
PaddlePaddle/Paddle							552	TOO_BIG
mixxxdj/mixxx							607	TOO_BIG
google/sandboxed-api	12	12	6	0	0	0.0	0	CLEAN
f4exb/sdrangel							250	TOO_BIG
multitheftauto/mtasa-blue							950	TOO_BIG
Z3Prover/z3	1898	1899	7994	0	67	3.5	45	VIOLATION_KEPT
ton-blockchain/ton	1240	1240	5310	1	53	4.3	49	VIOLATION_KEPT
mltframework/shotcut	396	396	1169	0	19	4.8	52	VIOLATION_KEPT
ETLCPP/etl	14	15	0	0	2	14.3	33	VIOLATION_KEPT
google/filament							1126	TOO_BIG
AcademySoftwareFoundation/OpenImageIO	239	239	1053	0	36	15.1	67	VIOLATION_KEPT
xbmc/xbmc							1648	TOO_BIG
intel/compute-runtime	3177	3177	12801	1	202	6.4	141	VIOLATION_KEPT
subsurface/subsurface	520	520	2336	0	12	2.3	41	VIOLATION_KEPT
cataclysmbn/Cataclysm-BN							7296	TOO_BIG
sorbet/sorbet							213	TOO_BIG
facebookresearch/faiss							279	TOO_BIG
nextcloud/desktop							668	TOO_BIG
facebook/proxygen	623	623	1240	0	21	3.4	17	VIOLATION_KEPT
idaholab/moose							763	TOO_BIG
wled/WLED	184	184	238	1	5	2.7	22	VIOLATION_KEPT
nasa/fprime							457	TOO_BIG
openthread/openthread	0	0	0	0	0		0	CLEAN
vnotex/vnote	803	803	2833	0	52	6.5	20	VIOLATION_KEPT
facebook/watchman	234	234	771	0	7	3.0	10	VIOLATION_KEPT
typesense/typesense	172	172	530	0	19	11.0	17	VIOLATION_KEPT
facebook/folly	1	1	0	0	0	0.0	0	CLEAN
facebook/wangle	0	0	0	0	0		0	CLEAN
facebook/mvfst	365	365	1299	0	20	5.5	18	VIOLATION_KEPT
KDE/kdeconnect-kde	279	279	549	0	6	2.2	20	VIOLATION_KEPT
yhirose/cpp-httplib	19	19	0	0	0	0.0	0	CLEAN
zeek/zeek							266	TOO_BIG
emscripten-core/emscripten							266	TOO_BIG
espressif/arduino-esp32							2233	TOO_BIG
apache/arrow							229	TOO_BIG
InsightSoftwareConsortium/ITK							225	TOO_BIG
cvxpy/cvxpy							225	TOO_BIG
CoolProp/CoolProp	248	248	577	2	13	5.2	36	VIOLATION_KEPT
ihhub/fheroes2	465	465	4231	0	13	2.8	75	VIOLATION_KEPT
microsoft/DirectXShaderCompiler	3202	3202	22101	1	132	4.1	140	VIOLATION_KEPT
apache/impala							240	TOO_BIG
capnproto/capnproto	9	9	0	0	0	0.0	0	CLEAN
apache/trafficserver	1705	1705	5819	2	63	3.7	69	VIOLATION_KEPT
NVIDIA/nccl	427	427	993	2	17	4.0	18	VIOLATION_KEPT
google/boringssl							387	TOO_BIG
wxWidgets/wxWidgets							444	TOO_BIG
mawww/kakoune	141	141	806	0	1	0.7	7	VIOLATION_KEPT
kokkos/kokkos	734	734	2303	5	66	9.0	25	VIOLATION_KEPT
jank-lang/jank	403	403	1526	2	9	2.2	13	VIOLATION_KEPT
zeux/meshoptimizer	52	52	51	0	9	17.3	5	VIOLATION_KEPT
uxlfoundation/oneTBB	30	30	32	0	1	3.3	20	VIOLATION_KEPT
sideeffects/SideFXLabs							1532	TOO_BIG
gem5/gem5							231	TOO_BIG
zcash/zcash	584	584	2212	0	28	4.8	26	VIOLATION_KEPT
OSGeo/PROJ							306	TOO_BIG
zeroc-ice/ice							223	TOO_BIG
uncrustify/uncrustify	289	289	748	0	20	6.9	21	VIOLATION_KEPT
TheHPXProject/hpx							421	TOO_BIG
texstudio-org/texstudio							316	TOO_BIG
dolphin-emu/dolphin							550	TOO_BIG
nomacs/nomacs	130	130	440	0	4	3.1	19	VIOLATION_KEPT
OGRECave/ogre							445	TOO_BIG
FEniCS/dolfinx	176	176	820	1	4	2.3	7	VIOLATION_KEPT
SerenityOS/serenity							241	TOO_BIG
SimpleITK/SimpleITK	18	18	6	0	2	11.1	9	VIOLATION_KEPT
Bitcoin-ABC/bitcoin-abc							316	TOO_BIG
actor-framework/actor-framework	1202	1202	5401	0	16	1.3	16	VIOLATION_KEPT
gerbera/gerbera	314	314	1404	0	10	3.2	64	VIOLATION_KEPT
ocornut/imgui	37	37	15	0	28	75.7	14	VIOLATION_KEPT
percona/percona-xtrabackup							4569	TOO_BIG
bitcoin/bitcoin							317	TOO_BIG
widelands/widelands							3251	TOO_BIG
meganz/sdk	882	882	2230	1	12	1.4	41	VIOLATION_KEPT
mfem/mfem							276	TOO_BIG
savoirfairelinux/opendht	78	78	206	0	2	2.6	4	VIOLATION_KEPT
Tencent/ncnn	2300	2300	3851	0	138	6.0	62	VIOLATION_KEPT
AcademySoftwareFoundation/MaterialX							236	TOO_BIG
google/tcmalloc	1	1	0	0	0	0.0	0	CLEAN
Chatterino/chatterino2	943	943	3123	0	11	1.2	16	VIOLATION_KEPT
revng/revng	1017	1017	3992	2	10	1.0	20	VIOLATION_KEPT
aardappel/lobster	148	150	379	1	2	1.4	92	VIOLATION_KEPT
apache/thrift	333	333	709	0	30	9.0	17	VIOLATION_KEPT
iree-org/iree							288	TOO_BIG
halide/Halide	877	877	2573	0	47	5.4	57	VIOLATION_KEPT
mpusz/mp-units	2	2	0	0	0	0.0	0	CLEAN
WasmEdge/WasmEdge								CLONE_FAIL
doxygen/doxygen	462	463	1911	0	38	8.2	40	VIOLATION_KEPT
Cockatrice/Cockatrice	928	928	2213	4	18	1.9	45	VIOLATION_KEPT
scylladb/seastar	392	392	1563	0	6	1.5	11	VIOLATION_KEPT
ispc/ispc	207	207	401	0	32	15.5	29	VIOLATION_KEPT
NVIDIA/DALI							539	TOO_BIG
librats/rats-search	69	69	122	0	4	5.8	5	VIOLATION_KEPT
diffblue/cbmc							1570	TOO_BIG
bpftrace/bpftrace	389	389	996	1	1	0.3	16	VIOLATION_KEPT
KDE/kwin							563	TOO_BIG
stellar/stellar-core	595	595	2977	2	14	2.4	58	VIOLATION_KEPT
xLightsSequencer/xLights							958	TOO_BIG
Icinga/icinga2	607	607	2905	5	28	4.6	18	VIOLATION_KEPT
facebook/openr	140	140	356	2	5	3.6	9	VIOLATION_KEPT
uxlfoundation/oneDAL	0	0	0	0	0		0	CLEAN
openvinotoolkit/model_server	3	3	2	0	0	0.0	0	CLEAN
uxlfoundation/oneDPL	167	167	370	0	18	10.8	39	VIOLATION_KEPT
gromacs/gromacs							431	TOO_BIG
tenzir/tenzir							2302	TOO_BIG
inviwo/inviwo							948	TOO_BIG
OpenMS/OpenMS							912	TOO_BIG
canonical/mir							222	TOO_BIG
googleapis/google-cloud-cpp							14271	TOO_BIG
hpcc-systems/HPCC-Platform							344	TOO_BIG
intel/intel-graphics-compiler	2012	2013	8795	5	97	4.8	112	VIOLATION_KEPT
MOLAorg/mola	95	95	118	0	16	16.8	6	VIOLATION_KEPT
swoole/phpx	250	250	590	0	1	0.4	8	VIOLATION_KEPT
reupen/columns_ui	296	296	787	1	16	5.4	7	VIOLATION_KEPT
xapian/xapian	598	600	2078	0	23	3.8	57	VIOLATION_KEPT
KDE/dolphin							378	TOO_BIG
openthread/ot-br-posix	0	0	0	0	0		0	CLEAN
DCMTK/dcmtk	2196	2196	7818	0	162	7.4	87	VIOLATION_KEPT
SteamTracking/GameTracking-Dota2							6703	TOO_BIG
Xilinx/XRT	760	760	2014	1	104	13.7	39	VIOLATION_KEPT
facebook/fboss	3124	3124	9530	4	83	2.7	208	VIOLATION_KEPT
OpenMPT/openmpt							227	TOO_BIG
AMReX-Codes/amrex	243	243	6	0	53	21.8	31	VIOLATION_KEPT
eclipse-omr/omr	2669	2669	14778	5	230	8.6	71	VIOLATION_KEPT
NeoGeographyToolkit/StereoPipeline							244	TOO_BIG
grumpycoders/pcsx-redux	268	268	671	1	13	4.9	53	VIOLATION_KEPT
MythTV/mythtv							561	TOO_BIG
rapidsai/rmm	130	130	372	0	2	1.5	5	VIOLATION_KEPT
msoos/cryptominisat	6	6	3	0	25	416.7	6	VIOLATION_KEPT
Bforartists/Bforartists							2668	TOO_BIG
LunarG/gfxreconstruct	1	1	0	0	0	0.0	0	CLEAN
scribusproject/scribus							814	TOO_BIG
microsoft/CCF	0	0	0	0	0		0	CLEAN
Cantera/cantera	410	410	1251	1	12	2.9	15	VIOLATION_KEPT
open-edge-platform/dlstreamer							382	TOO_BIG
KhronosGroup/VK-GL-CTS							2047	TOO_BIG
OpenChemistry/avogadrolibs	673	673	2030	2	65	9.7	66	VIOLATION_KEPT
ros-controls/ros2_control	0	0	0	0	0		0	CLEAN
rpm-software-management/rpm	224	224	1134	0	3	1.3	7	VIOLATION_KEPT
ipsilon/evmone	57	57	63	0	0	0.0	0	CLEAN
OpenEnroth/OpenEnroth	816	816	3656	2	9	1.1	58	VIOLATION_KEPT
ad-freiburg/qlever							209	TOO_BIG
nsnam/ns-3-dev-git							213	TOO_BIG
inet-framework/inet							259	TOO_BIG
tonioni/WinUAE	1000	1001	3915	2	116	11.6	90	VIOLATION_KEPT
coal-library/coal	188	188	247	0	1	0.5	8	VIOLATION_KEPT
openMSX/openMSX	1190	1190	5108	0	13	1.1	28	VIOLATION_KEPT
Mudlet/Mudlet							208	TOO_BIG
wingtk/gvsbuild	219	219	39	0	6	2.7	14	VIOLATION_KEPT
lagadic/visp							253	TOO_BIG
GerbilSoft/rom-properties	1950	1950	4663	0	76	3.9	128	VIOLATION_KEPT
mavlink/MAVSDK	718	718	1572	0	90	12.5	52	VIOLATION_KEPT
ja2-stracciatella/ja2-stracciatella	854	854	8497	0	19	2.2	54	VIOLATION_KEPT
cisco/mercury							347	TOO_BIG
dxx-rebirth/dxx-rebirth	420	420	3805	0	7	1.7	11	VIOLATION_KEPT
torognes/vsearch	10	10	8	0	0	0.0	0	CLEAN
ROCm/AMDMIGraphX	3	3	1	0	0	0.0	0	CLEAN
OPM/ResInsight							269	TOO_BIG
OpenSourceRisk/Engine	2463	2464	9201	0	38	1.5	134	VIOLATION_KEPT
esbmc/esbmc	8280	8264	6040	1	195	2.4	138	VIOLATION_KEPT
qt/qtdeclarative							307	TOO_BIG
stillwater-sc/universal	2225	2225	5388	4	50	2.2	70	VIOLATION_KEPT
qt/qtwebengine	629	629	1190	0	20	3.2	15	VIOLATION_KEPT
KDE/plasma-workspace							438	TOO_BIG
chaos-polymtl/lethe							976	TOO_BIG
qt/qttools	1141	1141	2727	1	37	3.2	39	VIOLATION_KEPT
scp-fs2open/fs2open.github.com							245	TOO_BIG
krrishnarraj/clpeak	97	97	201	0	12	12.4	4	VIOLATION_KEPT
IppClub/Dora-SSR							279	TOO_BIG
mantidproject/mantid							954	TOO_BIG
netxms/netxms	1304	1305	2436	1	93	7.1	84	VIOLATION_KEPT
linuxdeepin/dde-file-manager							209	TOO_BIG
onecoolx/picasso	104	104	337	0	15	14.4	43	VIOLATION_KEPT
mickem/nscp	702	702	2454	0	28	4.0	23	VIOLATION_KEPT
webrtc-sdk/webrtc							353	TOO_BIG
XCSoar/XCSoar	3627	3629	13511	0	26	0.7	59	VIOLATION_KEPT
highperformancecoder/minsky							280	TOO_BIG
masc-ucsc/livehd	243	243	473	0	2	0.8	47	VIOLATION_KEPT
openbmc/bmcweb	359	359	1482	0	7	1.9	15	VIOLATION_KEPT
aburch/simutrans	848	848	5688	0	11	1.3	17	VIOLATION_KEPT
BLAST-WarpX/warpx	243	243	0	0	17	7.0	22	VIOLATION_KEPT
leuat/TRSE	746	747	1737	2	27	3.6	89	VIOLATION_KEPT
ornladios/ADIOS2	899	899	2083	2	49	5.5	49	VIOLATION_KEPT
kokkos/kokkos-kernels	805	805	1813	1	64	8.0	26	VIOLATION_KEPT
lttng/lttng-tools	728	728	3747	4	25	3.4	21	VIOLATION_KEPT
percona/percona-xtradb-cluster							4973	TOO_BIG
NVIDIA/VisRTX	490	490	1294	0	14	2.9	74	VIOLATION_KEPT
sonic-net/sonic-swss	350	350	1149	0	20	5.7	18	VIOLATION_KEPT
Washington-University/workbench	3965	3967	17393	5	181	4.6	79	VIOLATION_KEPT
BearWare/TeamTalk5							233	TOO_BIG
LoneGazebo/Community-Patch-DLL							4673	TOO_BIG
aws/aws-ofi-nccl	99	99	290	1	2	2.0	17	VIOLATION_KEPT
flatironinstitute/finufft	89	89	137	0	3	3.4	18	VIOLATION_KEPT
GNOME/gparted	144	144	556	1	1	0.7	9	VIOLATION_KEPT
OpenChemistry/avogadroapp	37	37	48	0	2	5.4	10	VIOLATION_KEPT
gwdevhub/GWToolboxpp	417	418	1304	0	15	3.6	41	VIOLATION_KEPT
MerginMaps/mobile	244	244	463	0	4	1.6	25	VIOLATION_KEPT
zxlxz/sfc	144	144	253	0	2	1.4	3	VIOLATION_KEPT
Samsung/escargot							203	TOO_BIG
ViewTouch/viewtouch	202	202	922	0	3	1.5	38	VIOLATION_KEPT
mysql/mysql-shell	1162	1162	4735	1	24	2.1	44	VIOLATION_KEPT
jjuran/metamage_1	3803	3806	11717	6	23	0.6	46	VIOLATION_KEPT
project-gemmi/gemmi	261	261	952	0	8	3.1	11	VIOLATION_KEPT
DroneDB/DroneDB	225	225	775	0	4	1.8	12	VIOLATION_KEPT
Open-KO/KnightOnline							334	TOO_BIG
stereolabs/zed-ros2-wrapper	4	4	2	0	0	0.0	0	CLEAN
socnetv/app	174	174	272	0	11	6.3	7	VIOLATION_KEPT
OpenChemistry/tomviz	422	422	1028	0	13	3.1	11	VIOLATION_KEPT
ryzom/ryzomcore							306	TOO_BIG
batocera-linux/batocera-emulationstation	415	415	2202	0	16	3.9	44	VIOLATION_KEPT
glotzerlab/hoomd-blue	617	617	1496	0	41	6.6	19	VIOLATION_KEPT
glotzerlab/freud	143	143	542	0	4	2.8	10	VIOLATION_KEPT
raspberrypi/libcamera	612	612	2074	0	13	2.1	14	VIOLATION_KEPT
ROCm/rccl	324	324	695	1	27	8.3	14	VIOLATION_KEPT
acts-project/acts	2103	2103	10118	46	22	1.0	147	VIOLATION_KEPT
mariadb-corporation/mariadb-columnstore-engine	1462	1463	5821	2	77	5.3	49	VIOLATION_KEPT
sxs-collaboration/spectre	3538	3538	27898	6	14	0.4	81	VIOLATION_KEPT
qt/qtmultimedia	948	948	1137	0	31	3.3	42	VIOLATION_KEPT
qtproject/pyside-pyside-setup	444	444	1583	0	9	2.0	36	VIOLATION_KEPT
linuxdeepin/dde-control-center							433	TOO_BIG
cilium/proxy	59	59	111	0	0	0.0	0	CLEAN
mne-tools/mne-cpp	945	945	2157	1	49	5.2	79	VIOLATION_KEPT
nakatamaho/mplapack							314	TOO_BIG
couchbase/kv_engine	1070	1070	4006	0	19	1.8	41	VIOLATION_KEPT
dds-bridge/dds	96	96	211	0	6	6.2	17	VIOLATION_KEPT
seto77/ReciPro							627	TOO_BIG
savoirfairelinux/jami-daemon							213	TOO_BIG
InternationalColorConsortium/iccDEV	37	37	11	0	3	8.1	64	VIOLATION_KEPT
OpendTect/OpendTect	3529	3529	24365	4	129	3.7	54	VIOLATION_KEPT
BelledonneCommunications/flexisip	812	812	2627	1	9	1.1	18	VIOLATION_KEPT
OutpostUniverse/OPHD	317	317	939	0	1	0.3	7	VIOLATION_KEPT
objeck/objeck-lang							3295	TOO_BIG
kernkonzept/l4re-core	919	921	510	0	6	0.7	196	VIOLATION_KEPT
kernkonzept/fiasco	1501	1506	1840	0	39	2.6	21	VIOLATION_KEPT
diffblue/hw-cbmc	503	503	1116	0	10	2.0	11	VIOLATION_KEPT
USNavalResearchLaboratory/simdissdk	988	988	3836	0	32	3.2	24	VIOLATION_KEPT
kbingham/libcamera	604	604	2064	1	13	2.2	13	VIOLATION_KEPT
GNOME/gjs	151	151	779	0	5	3.3	5	VIOLATION_KEPT
GIBIS-UNIFESP/wiRedPanda							578	TOO_BIG
BelledonneCommunications/linphone-sdk							230	TOO_BIG
LoveDaisy/ice_halo_sim	108	108	269	0	4	3.7	29	VIOLATION_KEPT
ESPWortuhr/Multilayout-ESP-Wordclock	62	62	88	0	2	3.2	115	VIOLATION_KEPT
yoyofr/modizer							1159	TOO_BIG
jrywu/DIME							569	TOO_BIG
SCIInstitute/ShapeWorks							1524	TOO_BIG
TimelordUK/node-sqlserver-v8	126	130	479	0	1	0.8	5	VIOLATION_KEPT
bertiniteam/b2	205	206	397	1	8	3.9	5	VIOLATION_KEPT
christoph2/pyA2L	146	146	339	22	7	4.8	38	VIOLATION_KEPT
envoyproxy/envoy-openssl							324	TOO_BIG
alphaonex86/CatchChallenger	963	967	2674	0	67	7.0	56	VIOLATION_KEPT
luspi/photoqt	187	187	338	0	4	2.1	27	VIOLATION_KEPT
AntaresSimulatorTeam/Antares_Simulator							503	TOO_BIG
stackrox/collector	113	113	280	0	0	0.0	0	CLEAN
Kyoril/mmo	1394	1396	5338	0	52	3.7	53	VIOLATION_KEPT
qoretechnologies/qore	177	177	181	0	31	17.5	102	VIOLATION_KEPT
CerebusOSS/CereLink	68	68	150	0	1	1.5	5	VIOLATION_KEPT
facebook/fb303	0	0	0	0	0		0	CLEAN
qt/qtdoc	332	332	245	1	4	1.2	60	VIOLATION_KEPT
D-Programming-GDC/gcc							1433	TOO_BIG
solvcon/modmesh	20	20	20	0	1	5.0	5	VIOLATION_KEPT
qt/qtquick3d	637	637	595	0	22	3.5	91	VIOLATION_KEPT
Cytnx-dev/Cytnx							333	TOO_BIG
qt/qtsvg	71	71	90	0	2	2.8	6	VIOLATION_KEPT
fifengine/fifechan	203	203	660	0	5	2.5	11	VIOLATION_KEPT
ModbusScope/ModbusScope	207	207	419	0	2	1.0	97	VIOLATION_KEPT
kadas-albireo/kadas-albireo2	301	301	652	0	12	4.0	89	VIOLATION_KEPT
PierreSenellart/provsql	142	142	390	0	7	4.9	15	VIOLATION_KEPT
TrinityCore/TrinityCoreCustomChanges							703	TOO_BIG
RuleWorld/bionetgen	462	462	739	0	145	31.4	54	VIOLATION_KEPT
atmtools/arts							278	TOO_BIG
marekjm/viuavm	376	376	941	0	9	2.4	8	VIOLATION_KEPT
veltzer/demos-os-linux	1206	1205	1927	0	54	4.5	11	VIOLATION_KEPT
rzeronte/brakeza3d	437	437	1260	0	43	9.8	107	VIOLATION_KEPT
tagattie/FreeBSD-Electron	40770	40770	0	0	199	0.5	229	VIOLATION_KEPT
ValeevGroup/SeQuant	232	232	1028	0	15	6.5	10	VIOLATION_KEPT
eclipse-openj9/openj9-omr	2669	2669	14778	5	230	8.6	71	VIOLATION_KEPT
bylins/mud	961	961	4080	0	11	1.1	23	VIOLATION_KEPT
artis-mcrt/artis	54	54	328	0	0	0.0	0	CLEAN
osmocom/osmo-ttcn3-hacks	59	59	14	0	6	10.2	5	VIOLATION_KEPT
nextgis-borsch/lib_gdal							397	TOO_BIG
MaximumTrainer/MaximumTrainer_Redux	508	508	990	0	32	6.3	88	VIOLATION_KEPT
MUME/MMapper	610	610	2480	0	10	1.6	13	VIOLATION_KEPT
ciyam/ciyam	323	323	1370	0	39	12.1	66	VIOLATION_KEPT
dalihub/dali-core	6	6	0	0	0	0.0	0	CLEAN
sjg20/paperman	251	251	497	0	13	5.2	9	VIOLATION_KEPT
stpaine/FERS	145	145	330	0	6	4.1	7	VIOLATION_KEPT
lukas-w/pdfium	2508	2508	11271	0	51	2.0	52	VIOLATION_KEPT
dasch-swiss/sipi							488	TOO_BIG
nvdajp/nvdajp							887	TOO_BIG
UO-OACISS/tau2							275	TOO_BIG
openbmc/entity-manager	48	48	71	0	0	0.0	0	CLEAN
domob1812/namecoin-core							205	TOO_BIG
3drepo/3drepobouncer							377	TOO_BIG
LegalizeAdulthood/iterated-dynamics							225	TOO_BIG
qt/qtapplicationmanager	308	308	641	0	5	1.6	15	VIOLATION_KEPT
kotuku-group/kotuku	961	962	2872	2	63	6.6	71	VIOLATION_KEPT
sneezymud/sneezymud							279	TOO_BIG
kronosaur/TranscendenceDev							307	TOO_BIG
lairworks/nas2d-core	35	35	26	0	0	0.0	0	CLEAN
mosra/magnum-extras	0	0	0	0	0		0	CLEAN
openbmc/openpower-vpd-parser	64	64	265	0	1	1.6	3	VIOLATION_KEPT
ca2/app							350	TOO_BIG
EIGHTFINITE/dolphin							493	TOO_BIG
jwmcglynn/donner	693	693	2482	0	32	4.6	81	VIOLATION_KEPT
nomadsinteractive/ark	1005	1008	4864	0	2	0.2	13	VIOLATION_KEPT
OPENDAP/bes							898	TOO_BIG
CueMol/cuemol2	1197	1199	4818	3	55	4.6	29	VIOLATION_KEPT
reupen/typefind_panel	7	7	7	0	0	0.0	0	CLEAN
Tatsh/bpmdetect	32	32	54	0	2	6.2	10	VIOLATION_KEPT
foss-for-synopsys-dwc-arc-processors/gcc							1744	TOO_BIG
magao-x/MagAOX	511	511	680	2	24	4.7	52	VIOLATION_KEPT
GrapheneOS/platform_art							406	TOO_BIG
aladur/flexemu	288	288	1149	0	10	3.5	18	VIOLATION_KEPT
ccrs/EG-Source	2174	2174	11938	0	76	3.5	67	VIOLATION_KEPT
exodusdb/exodusdb	308	308	410	0	5	1.6	21	VIOLATION_KEPT
GrapheneOS/platform_frameworks_native	65	65	5	0	0	0.0	0	CLEAN
mrapp-ke/MLRL-Boomer							852	TOO_BIG
LBNL-ETA/Windows-CalcEngine	660	660	1586	1	19	2.9	12	VIOLATION_KEPT
evilmucedin/project-euler							803	TOO_BIG
dalihub/dali-adaptor	10	11	0	0	0	0.0	0	CLEAN
VERITAS-Observatory/EventDisplay_v4	436	436	668	0	21	4.8	10	VIOLATION_KEPT
dalihub/dali-toolkit	77	77	2	0	0	0.0	0	CLEAN
MIPS/gcc							2922	TOO_BIG
uksf/modpack							446	TOO_BIG
GrapheneOS/platform_frameworks_av							272	TOO_BIG
yhirose/culebra	22	22	49	1	10	45.5	5	VIOLATION_KEPT
JeffersonLab/JANA2	276	277	684	0	9	3.3	18	VIOLATION_KEPT
northriv/KAME	361	362	921	0	22	6.1	17	VIOLATION_KEPT
umkoin/umkoin	1111	1111	5206	0	37	3.3	43	VIOLATION_KEPT
Haldir65/androidMedia							286	TOO_BIG
crdroidandroid/android_hardware_interfaces	33	33	11	0	1	3.0	98	VIOLATION_KEPT
fmidev/smartmet-plugin-wms							614	TOO_BIG
ZeraGmbH/zera-classes	811	811	1504	0	15	1.8	17	VIOLATION_KEPT
tkadauke/raytracer	626	626	1978	0	17	2.7	16	VIOLATION_KEPT
hyyh619/irrlicht-1.8.3	868	868	3223	0	58	6.7	106	VIOLATION_KEPT
125jdavis/gauge	21	21	30	0	1	4.8	2	VIOLATION_KEPT
SenaxInc/SenaxTankAlarm	12	12	13	0	0	0.0	0	CLEAN
numaes/protoCore							257	TOO_BIG
derekbsnider/madc	122	122	234	0	16	13.1	8	VIOLATION_KEPT
zackb/code	210	212	409	0	3	1.4	311	VIOLATION_KEPT
google/xls	0	0	0	0	0		0	CLEAN
ossappscollective/OSS-DocumentScanner	77	77	216	0	22	28.6	37	VIOLATION_KEPT
memgraph/memgraph	1094	1094	4016	0	45	4.1	50	VIOLATION_KEPT
Serial-Studio/Serial-Studio							321	TOO_BIG
project-chip/connectedhomeip							1107	TOO_BIG
maplibre/maplibre-native							4091	TOO_BIG
organicmaps/organicmaps							9384	TOO_BIG
aravindkrishnaswamy/RISE	1212	1212	4047	6	61	5.0	221	VIOLATION_KEPT
redpanda-data/redpanda	2673	2673	14212	0	28	1.0	98	VIOLATION_KEPT
meshtastic/firmware	1128	1128	3082	4	16	1.4	31	VIOLATION_KEPT
TorqueGameEngines/Torque3D							784	TOO_BIG
Open-Cascade-SAS/OCCT							216	TOO_BIG
thorvg/thorvg							419	TOO_BIG
chrxh/alien							490	TOO_BIG
rui314/mold	64	64	65	0	4	6.2	39	VIOLATION_KEPT
